id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas,rendimiento_futuro,Riesgo de rotacion,Riesgo de despido,Riesgo de renuncia
80,5.97,2,11,6,0,0,14,0,12,6.65,medio,medio,alto
81,8.43,4,8,8,1,3,7,6,1,9.52,bajo,bajo,medio
82,7.85,2,12,9,8,12,0,25,20,9.55,medio,medio,alto
83,4.94,5,12,2,4,5,2,15,6,6.81,bajo,bajo,medio
84,8.68,3,14,15,4,10,15,9,12,9.66,medio,medio,alto
85,7.37,3,5,8,10,11,14,25,18,8.66,alto,alto,alto
86,7.06,4,7,0,7,3,14,16,2,6.27,medio,medio,alto
87,0.0,2,6,1,0,5,4,10,6,4.2,medio,alto,alto
88,0.0,1,5,4,0,13,5,23,11,4.36,alto,alto,alto
89,6.0,3,7,12,5,18,4,7,8,9.64,bajo,bajo,medio
90,7.06,5,10,7,7,10,6,19,20,8.8,alto,alto,alto
91,4.54,3,8,10,8,8,8,24,0,7.99,medio,medio,alto
92,8.09,3,8,15,7,9,5,14,12,9.75,medio,medio,alto
93,8.07,3,11,15,7,22,3,0,12,9.95,bajo,bajo,medio
94,4.51,3,7,7,12,17,1,29,10,8.66,medio,medio,alto
95,4.27,2,9,6,3,13,10,9,10,7.19,medio,medio,alto
96,2.62,2,11,0,2,0,15,12,15,4.11,alto,alto,alto
97,0.0,4,7,0,0,11,2,7,15,4.16,medio,alto,alto
98,0.0,7,10,19,0,15,12,14,16,4.95,alto,alto,alto
99,6.95,2,6,8,5,13,8,6,6,9.48,bajo,bajo,medio
100,0.0,4,7,3,0,7,4,22,11,4.21,alto,alto,alto
101,0.0,5,4,5,0,13,2,0,14,4.78,medio,alto,alto
102,7.41,4,5,0,2,0,3,14,7,6.78,bajo,bajo,medio
103,5.45,3,10,5,7,22,9,23,0,9.06,medio,medio,alto
104,5.34,7,12,13,3,9,0,26,10,8.76,medio,medio,alto
105,5.13,4,9,0,10,8,3,27,0,6.32,medio,medio,alto
106,5.01,5,11,4,5,12,6,21,14,7.15,alto,alto,alto
107,6.39,2,9,3,7,8,15,15,16,6.9,alto,alto,alto
108,5.45,2,7,6,11,3,15,28,18,5.84,alto,alto,alto
109,5.65,9,9,7,6,0,5,2,17,7.57,bajo,bajo,medio
110,5.74,5,3,6,8,0,2,18,15,7.42,medio,medio,alto
111,8.31,5,5,4,2,15,3,19,13,9.49,medio,medio,alto
112,6.09,7,6,10,0,22,4,29,5,9.42,medio,medio,alto
113,0.0,5,9,11,0,11,7,11,20,4.53,alto,alto,alto
114,8.57,3,10,8,0,8,6,23,10,9.37,medio,medio,alto
115,6.39,3,6,0,9,6,13,13,20,5.49,alto,alto,alto
116,8.25,5,15,3,11,15,11,19,17,9.21,alto,alto,alto
117,3.91,4,2,8,0,9,15,13,15,5.62,alto,alto,alto
118,7.57,2,11,8,3,0,14,30,17,7.04,alto,alto,alto
119,5.79,5,10,3,2,6,5,6,2,8.02,bajo,bajo,medio
120,5.84,3,9,10,7,16,15,28,18,7.98,alto,alto,alto
121,0.0,3,1,5,0,10,1,28,16,4.31,alto,alto,alto
122,0.0,1,9,12,0,1,6,24,15,4.25,alto,alto,alto
123,8.32,1,8,2,7,12,15,30,19,7.92,alto,alto,alto
124,5.49,3,6,0,0,9,11,20,5,5.33,medio,alto,alto
125,0.0,1,4,0,0,9,2,1,9,4.2,bajo,medio,medio
126,10.0,8,6,10,7,17,2,11,17,9.94,bajo,bajo,alto
127,7.21,6,5,0,6,4,5,19,2,7.28,bajo,bajo,medio
128,10.0,4,6,7,0,2,1,13,1,9.8,bajo,bajo,medio
129,6.18,2,4,10,1,17,14,29,0,8.84,alto,alto,alto
130,0.0,6,9,8,0,5,13,15,18,4.17,alto,alto,alto
131,6.02,1,8,10,6,7,14,11,20,7.67,alto,alto,alto
132,5.28,4,5,6,4,18,5,12,10,8.84,medio,medio,alto
133,7.38,4,9,11,0,13,15,23,12,8.84,alto,alto,alto
134,8.04,3,9,13,0,21,11,21,0,9.81,medio,medio,alto
135,5.8,5,15,1,4,15,10,1,15,7.54,medio,medio,alto
136,0.0,4,8,1,0,13,6,17,3,4.3,medio,alto,alto
137,7.51,4,10,2,2,24,10,28,8,9.12,alto,alto,alto
138,5.83,5,4,4,7,22,8,26,9,8.81,alto,alto,alto
139,3.58,7,11,7,4,10,0,15,2,7.79,bajo,bajo,medio
140,7.28,3,9,5,3,1,5,4,13,8.51,bajo,bajo,alto
141,0.0,3,8,13,0,3,11,13,20,4.25,alto,alto,alto
142,6.95,5,10,3,8,4,11,4,0,8.62,bajo,bajo,medio
143,6.0,3,10,2,0,6,12,29,9,5.79,alto,alto,alto
144,7.6,4,7,1,4,16,11,4,17,8.64,medio,medio,alto
145,0.0,6,7,7,0,0,4,14,14,4.23,alto,alto,alto
146,8.85,2,8,17,7,14,0,28,8,9.92,medio,bajo,alto
147,6.61,2,7,17,3,9,9,8,9,9.43,medio,medio,alto
148,9.72,3,6,1,11,15,6,6,15,9.74,bajo,bajo,alto
149,7.61,3,6,7,2,19,9,19,3,9.6,medio,medio,alto
150,5.07,2,11,11,0,0,1,15,16,7.2,medio,medio,alto
151,0.0,1,12,11,0,11,10,7,14,4.6,alto,alto,alto
152,9.95,1,6,3,8,0,15,10,10,9.09,medio,medio,alto
153,6.67,5,9,7,4,8,6,12,6,9.0,bajo,bajo,alto
154,9.53,3,9,0,15,1,2,24,7,8.97,medio,bajo,alto
155,0.0,6,5,7,0,18,13,21,5,4.57,alto,alto,alto
156,0.0,2,8,6,0,13,4,5,0,5.1,bajo,medio,medio
157,0.0,6,7,5,0,19,15,3,13,4.5,alto,alto,alto
158,0.0,2,7,14,0,16,2,17,14,5.35,alto,alto,alto
159,7.68,5,5,3,8,0,12,6,16,7.77,medio,medio,alto
160,7.37,1,8,11,5,14,6,19,0,9.71,bajo,bajo,alto
161,7.73,5,3,5,0,1,4,28,5,8.34,medio,medio,alto
162,3.42,4,4,6,5,17,13,18,16,6.08,alto,alto,alto
163,0.0,1,10,10,0,5,10,19,7,4.34,alto,alto,alto
164,8.63,3,1,19,4,8,9,25,8,9.74,medio,medio,alto
165,4.52,5,3,10,5,0,7,29,3,6.54,alto,alto,alto
166,6.72,4,6,0,3,7,4,0,8,7.51,bajo,bajo,bajo
167,3.77,1,10,10,9,12,5,10,20,7.6,medio,medio,alto
168,5.59,6,6,1,9,0,15,22,5,5.35,alto,alto,alto
169,7.54,4,8,8,2,25,12,6,8,9.75,medio,medio,alto
170,0.0,4,7,13,0,0,1,12,12,4.54,medio,alto,alto
171,7.45,6,9,14,4,1,14,29,2,8.67,alto,alto,alto
172,7.79,7,8,3,0,18,12,16,16,8.79,alto,alto,alto
173,4.0,2,7,17,0,0,10,7,13,6.54,medio,medio,alto
174,3.18,2,9,5,0,17,2,10,7,7.34,bajo,bajo,medio
175,9.33,6,9,2,0,9,15,5,2,9.27,bajo,bajo,alto
176,0.0,3,9,9,0,0,0,16,13,4.36,medio,alto,alto
177,0.0,2,3,11,0,0,1,30,1,4.44,medio,alto,alto
178,8.8,4,10,8,3,15,0,7,1,9.91,bajo,bajo,medio
179,8.28,6,7,1,2,0,6,14,20,7.29,medio,medio,alto
180,3.97,7,7,9,3,3,0,18,3,7.34,bajo,bajo,medio
181,6.87,3,6,2,5,4,2,9,13,8.16,bajo,bajo,alto
182,4.77,2,9,12,7,11,14,14,1,8.36,medio,medio,alto
183,2.39,1,10,5,4,19,2,2,4,7.7,bajo,bajo,bajo
184,0.0,4,7,12,0,12,10,0,20,4.67,alto,alto,alto
185,4.36,4,6,0,3,16,14,0,8,5.63,medio,alto,alto
186,0.0,1,1,5,0,7,12,4,18,4.2,alto,alto,alto
187,9.4,4,7,5,6,14,12,5,11,9.73,bajo,bajo,alto
188,5.03,3,9,16,9,8,9,18,5,8.8,medio,medio,alto
189,9.47,3,11,10,2,0,15,19,17,8.88,alto,alto,alto
190,5.67,6,5,12,0,10,1,22,12,8.75,medio,medio,alto
191,10.0,5,4,2,6,14,7,21,8,9.7,medio,medio,alto
192,8.09,5,4,6,2,7,6,29,14,8.75,alto,alto,alto
193,5.98,3,7,0,9,8,8,15,3,6.72,medio,medio,alto
194,9.94,5,9,4,11,7,3,15,15,9.74,medio,medio,alto
195,8.89,4,9,16,8,3,11,18,20,9.49,alto,alto,alto
196,4.31,4,7,0,4,7,6,1,2,5.74,bajo,medio,medio
197,5.47,5,6,10,14,11,8,12,16,8.83,medio,medio,alto
198,0.0,6,9,6,0,7,10,27,11,4.19,alto,alto,alto
199,3.34,5,9,20,8,0,3,13,1,8.06,bajo,bajo,medio
200,5.6,1,10,0,0,22,15,12,13,6.21,alto,alto,alto
201,3.62,7,4,6,1,14,9,2,0,7.6,bajo,bajo,bajo
202,0.0,1,6,1,0,13,9,0,2,4.4,bajo,medio,medio
203,0.0,4,8,1,0,13,6,23,14,4.17,alto,alto,alto
204,7.39,6,9,5,2,0,3,19,1,8.67,bajo,bajo,alto
205,4.39,5,5,9,0,13,7,29,2,7.55,medio,medio,alto
206,8.48,6,6,7,6,15,10,16,20,9.47,alto,alto,alto
207,0.0,1,8,9,0,11,8,12,2,4.79,medio,alto,alto
208,3.1,4,5,12,1,6,12,5,6,6.3,medio,medio,alto
209,4.67,3,6,5,3,3,11,12,13,5.79,medio,alto,alto
210,0.0,4,9,2,0,16,0,11,4,4.78,bajo,medio,medio
211,4.84,6,7,7,1,25,11,19,10,8.49,alto,alto,alto
212,0.0,2,3,11,0,22,2,30,18,5.08,alto,alto,alto
213,4.73,2,9,2,0,0,6,9,14,5.29,medio,alto,alto
214,8.9,6,9,4,7,5,1,3,6,9.71,bajo,bajo,medio
215,9.01,5,4,11,0,16,14,28,18,9.45,alto,alto,alto
216,0.0,5,10,13,0,6,5,7,11,4.75,medio,alto,alto
217,3.12,1,8,9,3,7,14,3,17,5.51,alto,alto,alto
218,5.92,2,5,3,0,6,3,1,6,8.14,bajo,bajo,medio
219,4.66,2,7,8,0,15,12,20,4,7.57,medio,alto,alto
220,0.0,3,13,12,0,6,3,1,19,4.68,medio,alto,alto
221,5.73,4,7,14,7,6,4,3,9,9.27,bajo,bajo,medio
222,9.52,1,6,4,0,0,10,8,12,8.97,medio,medio,alto
223,7.03,2,7,3,2,16,10,7,20,8.51,medio,medio,alto
224,6.79,4,7,7,3,8,14,26,12,7.64,alto,alto,alto
225,0.0,3,3,5,0,0,6,13,0,4.28,medio,alto,alto
226,8.84,4,8,6,7,11,0,16,8,9.8,bajo,bajo,alto
227,4.58,7,8,5,5,17,11,16,7,7.68,medio,medio,alto
228,4.07,5,15,10,2,13,4,11,4,8.39,bajo,bajo,medio
229,0.0,2,12,9,0,22,4,21,20,4.94,alto,alto,alto
230,5.73,1,14,9,2,0,2,26,18,6.95,alto,alto,alto
231,0.88,2,8,6,0,21,10,16,13,5.01,alto,alto,alto
232,3.5,1,7,12,11,26,15,0,11,8.97,medio,medio,alto
233,8.62,2,9,14,0,7,11,7,8,9.65,bajo,bajo,alto
234,10.0,2,4,12,13,16,12,3,18,9.93,medio,medio,alto
235,5.35,2,5,12,10,0,7,14,9,8.07,medio,medio,alto
236,0.0,6,2,18,0,5,10,6,3,4.95,medio,alto,alto
237,3.29,2,7,8,0,9,5,1,1,7.39,bajo,bajo,bajo
238,6.68,5,9,11,0,12,1,30,0,9.43,medio,bajo,alto
239,0.0,2,7,8,0,25,10,15,3,5.47,medio,alto,alto
240,4.45,1,11,7,7,3,3,17,14,6.79,medio,medio,alto
241,4.43,5,12,11,4,12,4,20,17,7.8,alto,alto,alto
242,8.11,5,9,10,0,12,12,18,7,9.41,medio,medio,alto
243,7.47,3,5,10,4,0,8,1,8,9.14,bajo,bajo,medio
244,0.0,5,7,14,0,17,6,15,19,5.02,alto,alto,alto
245,1.35,3,12,3,5,1,2,20,8,4.47,medio,alto,alto
246,5.87,1,9,6,7,22,11,24,4,9.09,medio,medio,alto
247,0.0,1,7,5,0,0,15,29,4,4.08,alto,alto,alto
248,5.19,1,4,10,12,9,11,6,7,8.73,medio,medio,alto
249,7.23,7,6,13,11,17,12,3,14,9.73,medio,medio,alto
250,6.41,6,11,5,4,15,7,13,3,9.16,bajo,bajo,alto
251,0.0,3,12,10,0,12,3,5,0,5.52,bajo,medio,medio
252,0.0,6,8,10,0,17,7,8,16,4.93,alto,alto,alto
253,0.0,4,11,0,0,13,5,24,16,4.09,alto,alto,alto
254,10.0,8,8,7,0,12,1,24,11,9.82,medio,bajo,alto
255,7.31,4,2,7,13,11,7,2,0,9.74,bajo,bajo,medio
256,0.0,3,3,9,0,2,10,14,1,4.35,medio,alto,alto
257,3.6,5,4,10,4,5,11,18,6,6.15,medio,alto,alto
258,7.24,6,10,12,9,7,15,16,13,8.94,alto,alto,alto
259,6.19,5,9,4,8,13,10,26,12,7.95,alto,alto,alto
260,5.0,5,6,8,4,7,13,22,0,7.25,medio,medio,alto
261,4.46,4,5,3,4,5,6,10,18,5.8,medio,alto,alto
262,0.0,5,13,13,0,0,7,24,1,4.4,alto,alto,alto
263,0.0,3,9,7,0,18,11,26,18,4.35,alto,alto,alto
264,0.0,3,6,10,0,0,1,21,11,4.35,alto,alto,alto
265,6.27,3,6,1,8,0,14,22,20,5.15,alto,alto,alto
266,0.0,6,11,11,0,2,3,25,17,4.28,alto,alto,alto
267,7.86,5,12,1,7,8,4,29,1,8.77,medio,bajo,alto
268,6.53,1,8,4,12,1,0,0,17,8.71,bajo,bajo,medio
269,6.34,4,4,4,7,17,1,12,2,9.52,bajo,bajo,medio
270,0.0,3,4,9,0,22,3,9,2,6.18,bajo,bajo,medio
271,0.0,2,5,0,0,9,5,25,4,4.11,alto,alto,alto
272,0.0,1,12,14,0,17,0,10,19,5.58,medio,alto,alto
273,6.18,6,3,20,0,27,14,2,1,9.85,bajo,bajo,medio
274,1.88,5,10,11,0,13,7,29,17,5.12,alto,alto,alto
275,5.66,3,8,15,2,1,9,15,1,8.39,medio,medio,alto
276,5.63,3,2,3,6,19,7,16,6,8.71,medio,medio,alto
277,6.52,4,11,6,5,10,14,27,20,7.12,alto,alto,alto
278,3.42,2,5,6,10,19,4,8,6,8.49,bajo,bajo,medio
279,8.25,3,10,14,3,16,13,0,8,9.82,bajo,bajo,medio
280,4.64,6,4,2,0,21,13,27,5,6.59,alto,alto,alto
281,1.58,6,6,14,8,16,10,29,12,5.9,alto,alto,alto
282,7.47,7,10,7,4,9,6,9,17,9.13,medio,medio,alto
283,8.25,6,9,5,6,4,6,29,16,8.59,alto,alto,alto
284,6.57,2,3,2,9,17,9,25,12,8.38,alto,alto,alto
285,5.1,5,11,11,1,3,11,25,3,6.97,alto,alto,alto
286,7.29,5,5,8,3,6,15,3,0,9.07,bajo,bajo,medio
287,4.69,2,13,6,7,0,10,19,12,5.81,alto,alto,alto
288,0.0,1,11,4,0,2,6,21,10,4.16,alto,alto,alto
289,10.0,5,8,9,0,3,14,24,16,9.15,alto,alto,alto
290,9.21,3,12,13,3,12,10,15,18,9.72,medio,medio,alto
291,10.0,3,2,3,6,7,3,26,3,9.7,bajo,bajo,alto
292,0.0,1,4,9,0,2,13,27,12,4.13,alto,alto,alto
293,8.19,4,6,4,10,0,8,9,3,9.15,bajo,bajo,medio
294,0.0,2,5,8,0,0,13,20,13,4.12,alto,alto,alto
295,8.22,2,5,0,4,5,12,14,6,7.31,medio,medio,alto
296,0.0,3,4,4,0,10,0,6,15,4.53,medio,alto,alto
297,7.77,3,9,0,1,9,12,28,17,6.0,alto,alto,alto
298,0.0,4,2,14,0,1,0,19,1,4.83,medio,medio,alto
299,8.13,4,4,9,7,12,4,16,8,9.73,bajo,bajo,alto
300,0.0,7,5,4,0,0,12,26,4,4.1,alto,alto,alto
301,6.93,3,2,18,6,0,8,17,10,9.08,medio,medio,alto
302,5.11,2,9,0,1,8,9,11,1,5.66,bajo,medio,medio
303,9.43,1,5,9,1,14,12,0,17,9.76,medio,medio,alto
304,6.55,1,7,1,6,19,9,17,6,8.63,medio,medio,alto
305,0.0,4,7,11,0,10,5,10,10,4.83,medio,alto,alto
306,0.0,7,8,15,0,23,4,6,3,7.0,bajo,bajo,medio
307,0.0,4,12,7,0,7,0,27,9,4.44,alto,alto,alto
308,6.76,5,8,12,1,5,7,29,17,8.11,alto,alto,alto
309,0.0,2,6,9,0,0,14,23,0,4.19,alto,alto,alto
310,8.25,1,10,5,9,0,2,26,11,8.97,medio,medio,alto
311,7.35,5,10,8,0,4,14,4,4,8.72,bajo,bajo,alto
312,8.49,3,9,8,7,11,13,11,11,9.53,medio,medio,alto
313,9.82,5,12,10,7,0,2,14,0,9.85,bajo,bajo,medio
314,5.26,1,10,8,1,10,15,17,20,6.39,alto,alto,alto
315,0.0,3,5,14,0,8,13,6,0,4.84,medio,alto,alto
316,9.08,3,8,10,7,11,3,30,19,9.68,alto,alto,alto
317,8.32,2,8,3,0,3,15,11,10,7.91,medio,alto,alto
318,0.0,3,5,0,0,18,12,27,5,4.12,alto,alto,alto
319,0.0,1,7,17,0,7,2,29,16,4.63,alto,alto,alto
320,0.0,2,9,7,0,9,11,11,16,4.28,alto,alto,alto
321,0.0,5,6,10,0,0,10,2,18,4.24,alto,alto,alto
322,10.0,7,7,3,8,17,2,10,19,9.85,bajo,bajo,alto
323,4.68,2,12,2,5,4,12,17,17,5.08,alto,alto,alto
324,8.76,4,4,3,0,4,11,9,16,8.45,medio,medio,alto
325,8.49,6,10,0,3,9,8,26,15,7.35,alto,alto,alto
326,4.71,4,10,3,6,7,2,2,0,8.12,bajo,bajo,medio
327,5.99,7,8,10,6,3,12,5,13,8.01,medio,medio,alto
328,4.43,4,9,17,1,19,2,5,19,9.22,medio,medio,alto
329,5.83,2,6,1,11,17,9,7,3,8.7,bajo,bajo,medio
330,6.53,8,6,0,4,14,9,12,4,7.49,medio,medio,alto
331,0.0,4,8,11,0,14,3,17,6,5.19,medio,alto,alto
332,5.31,4,6,8,9,23,0,10,5,9.7,bajo,bajo,medio
333,0.0,6,13,3,0,20,3,12,5,4.95,medio,alto,alto
334,5.67,1,14,6,3,4,1,15,19,7.46,medio,medio,alto
335,9.0,3,10,7,0,18,3,23,16,9.73,medio,medio,alto
336,5.23,4,11,10,3,5,6,2,9,8.33,bajo,bajo,medio
337,0.0,2,2,4,0,1,11,3,1,4.23,medio,alto,alto
338,7.16,5,9,0,7,18,14,20,11,7.45,alto,alto,alto
339,7.91,5,12,7,5,6,15,22,10,8.53,alto,alto,alto
340,7.33,2,5,15,3,18,15,12,2,9.71,medio,medio,alto
341,5.89,2,7,11,0,0,12,17,17,6.57,alto,alto,alto
342,2.36,6,9,19,9,4,5,29,13,6.18,alto,alto,alto
343,0.0,6,4,5,0,6,15,16,2,4.2,alto,alto,alto
344,9.02,1,11,3,7,15,12,17,1,9.64,medio,medio,alto
345,6.77,1,7,12,5,8,1,22,1,9.54,bajo,bajo,alto
346,6.17,2,10,6,11,7,15,28,18,6.87,alto,alto,alto
347,5.89,5,7,1,6,6,3,16,19,6.59,medio,medio,alto
348,6.48,4,7,5,6,0,0,20,1,8.54,bajo,bajo,alto
349,6.09,3,14,3,0,23,13,13,3,8.77,medio,medio,alto
350,8.69,4,9,12,5,14,9,19,18,9.68,alto,alto,alto
351,6.58,3,7,5,5,12,2,30,7,8.86,medio,medio,alto
352,0.0,5,3,6,0,17,8,10,20,4.5,alto,alto,alto
353,5.01,2,6,8,4,8,5,10,18,7.62,medio,medio,alto
354,9.59,4,6,10,4,0,10,1,6,9.69,bajo,bajo,medio
355,3.11,3,10,0,5,11,2,12,15,4.9,medio,alto,alto
356,5.18,1,6,16,0,16,0,12,5,9.54,bajo,bajo,medio
357,3.79,5,7,2,5,5,12,10,17,4.89,alto,alto,alto
358,5.72,6,7,6,1,5,10,26,2,7.1,medio,medio,alto
359,5.91,7,7,8,7,22,2,29,1,9.58,medio,bajo,alto
360,0.0,1,11,5,0,0,10,26,19,4.07,alto,alto,alto
361,9.74,3,7,13,8,28,13,20,6,9.96,medio,medio,alto
362,8.52,6,7,12,8,14,1,18,6,9.89,bajo,bajo,alto
363,6.47,5,7,3,1,13,12,23,1,8.0,medio,medio,alto
364,9.7,3,4,5,3,0,9,16,20,8.9,medio,medio,alto
365,5.2,1,7,10,0,1,12,17,11,6.34,alto,alto,alto
366,6.77,6,1,9,5,4,7,6,19,8.57,medio,medio,alto
367,7.13,2,10,4,7,13,4,3,1,9.6,bajo,bajo,medio
368,9.7,4,6,5,1,2,12,9,17,9.04,medio,medio,alto
369,5.14,2,7,1,2,8,11,29,1,5.69,alto,alto,alto
370,7.19,3,11,11,4,16,0,21,12,9.68,medio,bajo,alto
371,4.95,3,13,6,10,11,3,12,2,8.85,bajo,bajo,medio
372,5.13,2,3,5,2,17,2,17,19,8.08,medio,medio,alto
373,6.12,2,5,2,15,12,11,21,15,7.7,alto,alto,alto
374,7.57,7,5,1,2,0,0,2,3,8.64,bajo,bajo,medio
375,9.69,1,8,11,5,17,15,30,11,9.75,alto,alto,alto
376,0.0,5,8,11,0,13,8,5,14,4.83,medio,alto,alto
377,8.39,2,6,7,5,14,9,6,6,9.73,bajo,bajo,medio
378,7.07,2,7,0,10,11,3,25,1,8.25,medio,bajo,alto
379,7.27,6,9,4,9,0,10,2,13,8.23,bajo,bajo,alto
380,7.42,1,8,18,3,15,14,4,17,9.62,medio,medio,alto
381,0.0,2,5,7,0,5,15,24,2,4.19,alto,alto,alto
382,5.93,8,8,10,4,8,4,1,10,9.13,bajo,bajo,medio
383,4.81,4,7,12,2,9,2,0,12,8.8,bajo,bajo,medio
384,6.83,8,8,1,6,13,4,19,16,8.13,medio,medio,alto
385,8.48,10,2,0,0,0,13,8,12,6.41,medio,medio,alto
386,5.17,6,6,10,1,0,2,16,3,7.84,bajo,bajo,medio
387,2.34,4,7,13,6,5,4,17,12,6.06,medio,medio,alto
